,Avg_Stress,Avg_Productivity
0,0.0,1.0
1,1.8,0.82
2,5.1,0.49000000000000005
3,9.2,0.16999999999999998
4,10.2,0.13
5,15.2,0.009999999999999998
6,16.5,0.0
7,19.7,0.0
8,23.4,0.0
9,25.4,0.0
10,29.1,0.0
11,31.6,0.0
12,35.4,0.0
13,37.4,0.0
14,42.0,0.0
15,43.2,0.0
16,46.9,0.0
17,52.7,0.0
18,56.1,0.0
19,56.9,0.0
20,59.6,0.0
21,64.3,0.0
22,66.6,0.0
23,69.2,0.0
24,71.1,0.0
25,72.5,0.0
26,75.1,0.0
27,78.2,0.0
28,80.5,0.0
29,83.6,0.0
30,87.3,0.0
31,89.3,0.0
32,94.7,0.0
33,96.3,0.0
34,100.3,0.0
35,102.1,0.0
36,105.6,0.0
37,110.6,0.0
38,113.5,0.0
39,115.5,0.0
40,116.5,0.0
41,120.4,0.0
42,122.1,0.0
43,125.6,0.0
44,128.3,0.0
45,130.8,0.0
46,134.1,0.0
47,137.2,0.0
48,142.6,0.0
49,143.3,0.0
